#{"CCD_temperature": "-88", "FELP": "1", "FELRR": "0.75", "FEL_lambda": "10", "FEL_pulses": 16, "NIRP": "137.505", "NIR_lambda": "764", "Sample_Temp": "17", "addenda": [-16598.725, "FEL_power_sweep"], "bg_file_name": "testBG19", "center_lambda": 751.5, "dark_region": null, "exposure": 20.0, "gain": 125, "grating": 2, "series": "137.505", "shot_normalized": true, "slits": "40", "subtrahenda": ["testBG"], "y_max": 80, "y_min": 25}
#

Wavelength,Signal
nm,arb. u.
nan,nan
nan,nan
1.656116,7.141016
1.656083,6.016016
1.656050,1.203516
1.656017,5.141016
1.655984,9.328516
1.655951,12.266016
1.655918,3.391016
1.655885,5.703516
1.655852,6.953516
1.655819,6.516016
1.655786,1.641016
1.655753,4.953516
1.655720,3.703516
1.655687,4.016016
1.655654,4.203516
1.655621,4.578516
1.655588,6.453516
1.655556,4.328516
1.655523,6.641016
1.655490,8.203516
1.655457,6.953516
1.655424,4.953516
1.655391,4.828516
1.655358,4.453516
1.655325,5.078516
1.655292,4.078516
1.655259,3.828516
1.655226,7.578516
1.655193,4.578516
1.655161,5.016016
1.655128,4.203516
1.655095,6.953516
1.655062,4.016016
1.655029,3.203516
1.654996,4.016016
1.654963,5.516016
1.654930,2.266016
1.654897,5.828516
1.654864,5.891016
1.654832,5.766016
1.654799,4.016016
1.654766,5.516016
1.654733,2.703516
1.654700,4.953516
1.654667,5.766016
1.654634,3.266016
1.654601,6.016016
1.654569,5.453516
1.654536,4.828516
1.654503,7.266016
1.654470,6.516016
1.654437,7.391016
1.654404,4.828516
1.654371,3.891016
1.654338,1.641016
1.654306,5.078516
1.654273,5.391016
1.654240,7.953516
1.654207,5.766016
1.654174,5.516016
1.654141,7.703516
1.654108,5.641016
1.654076,2.516016
1.654043,4.141016
1.654010,7.266016
1.653977,3.266016
1.653944,6.141016
1.653911,8.141016
1.653879,0.016016
1.653846,4.516016
1.653813,4.641016
1.653780,5.078516
1.653747,5.703516
1.653714,9.141016
1.653682,4.578516
1.653649,3.828516
1.653616,4.578516
1.653583,3.266016
1.653550,6.641016
1.653517,6.891016
1.653485,5.266016
1.653452,5.203516
1.653419,4.016016
1.653386,8.516016
1.653353,8.016016
1.653321,4.766016
1.653288,6.953516
1.653255,5.516016
1.653222,4.453516
1.653189,2.203516
1.653157,7.516016
1.653124,5.016016
1.653091,9.953516
1.653058,1.516016
1.653025,3.266016
1.652993,5.266016
1.652960,1.828516
1.652927,8.453516
1.652894,8.203516
1.652862,2.578516
1.652829,3.391016
1.652796,3.953516
1.652763,9.578516
1.652730,6.328516
1.652698,4.078516
1.652665,6.828516
1.652632,5.953516
1.652599,5.453516
1.652567,2.828516
1.652534,7.578516
1.652501,5.516016
1.652468,7.766016
1.652435,7.391016
1.652403,5.078516
1.652370,6.266016
1.652337,17.391016
1.652304,1.453516
1.652272,7.953516
1.652239,-7.296484
1.652206,1.328516
1.652173,5.078516
1.652141,4.203516
1.652108,8.266016
1.652075,5.016016
1.652043,8.516016
1.652010,12.078516
1.651977,7.578516
1.651944,11.203516
1.651912,6.203516
1.651879,9.828516
1.651846,4.391016
1.651813,11.141016
1.651781,0.766016
1.651748,5.828516
1.651715,6.578516
1.651682,5.766016
1.651650,5.016016
1.651617,7.828516
1.651584,3.516016
1.651552,7.891016
1.651519,8.266016
1.651486,7.141016
1.651454,10.016016
1.651421,10.641016
1.651388,7.391016
1.651355,10.391016
1.651323,5.266016
1.651290,2.828516
1.651257,6.141016
1.651225,6.141016
1.651192,8.453516
1.651159,6.266016
1.651127,7.453516
1.651094,9.078516
1.651061,6.453516
1.651028,8.891016
1.650996,5.016016
1.650963,9.641016
1.650930,13.703516
1.650898,7.578516
1.650865,8.828516
1.650832,6.641016
1.650800,15.266016
1.650767,5.391016
1.650734,4.828516
1.650702,8.641016
1.650669,12.578516
1.650636,6.703516
1.650604,4.641016
1.650571,3.016016
1.650538,5.891016
1.650506,6.703516
1.650473,3.328516
1.650440,11.016016
1.650408,10.328516
1.650375,11.453516
1.650342,8.141016
1.650310,10.828516
1.650277,3.641016
1.650245,6.703516
1.650212,9.703516
1.650179,7.953516
1.650147,3.016016
1.650114,2.391016
1.650081,10.641016
1.650049,4.766016
1.650016,10.141016
1.649983,8.016016
1.649951,27.516016
1.649918,6.453516
1.649886,-4.108984
1.649853,8.078516
1.649820,4.453516
1.649788,7.078516
1.649755,7.641016
1.649723,12.453516
1.649690,8.453516
1.649657,17.641016
1.649625,8.203516
